"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.381748542E0,-2.247753143E0,2.159175491E1,-4.651614761E1,5.133233156E1
2.391788542E0,-2.200565338E0,2.157747650E1,-4.702086258E1,5.178215424E1
2.401828542E0,-2.278720856E0,2.157380676E1,-4.707609177E1,5.183415981E1
2.411868542E0,-2.454082489E0,2.170543289E1,-4.700184250E1,5.182973602E1
2.421908542E0,-2.347404480E0,2.185742569E1,-4.686738205E1,5.176687035E1
2.431948542E0,-2.194629669E0,2.170369720E1,-4.665345383E1,5.150156916E1
2.441988542E0,-2.330738068E0,2.179913330E1,-4.679623795E1,5.167709781E1
2.452028542E0,-2.041965485E0,2.168473816E1,-4.648768997E1,5.133714845E1
2.462068542E0,-2.219718933E0,2.177991867E1,-4.658607101E1,5.147381880E1
2.472108542E0,-1.992214203E0,2.182947159E1,-4.647995377E1,5.138950135E1
2.482148542E0,-2.026382446E0,2.165272903E1,-4.666964340E1,5.148788708E1
2.492188542E0,-2.479015350E0,2.174382401E1,-4.648892593E1,5.138248373E1
2.502228542E0,-2.352371216E0,2.158491898E1,-4.660321426E1,5.141305240E1
2.512268542E0,-2.398567200E0,2.171213531E1,-4.655514908E1,5.142520637E1
2.522308542E0,-2.392982483E0,2.187197495E1,-4.677716446E1,5.169344995E1
2.532348542E0,-2.308914185E0,2.166452026E1,-4.665100479E1,5.148785071E1
2.542389542E0,-2.127128601E0,2.173945999E1,-4.656039810E1,5.142955831E1
2.552429542E0,-2.272186279E0,2.172487640E1,-4.652447891E1,5.139708380E1
2.562469542E0,-2.212608337E0,2.162885666E1,-4.683592606E1,5.163629582E1
2.572509542E0,-2.107120514E0,2.165015793E1,-4.661357498E1,5.143923277E1
2.582549542E0,-1.969936371E0,2.173621368E1,-4.645893478E1,5.133007165E1
2.592589542E0,-2.424766541E0,2.151631927E1,-4.644112015E1,5.124069797E1
2.602629542E0,-2.424346924E0,2.173878479E1,-4.622278214E1,5.113704929E1
2.612669542E0,-2.616249084E0,2.178092194E1,-4.667395401E1,5.157238896E1
2.622709542E0,-2.582012177E0,2.159299088E1,-4.642358780E1,5.126473979E1
2.632749542E0,-2.421657562E0,2.165093231E1,-4.641374588E1,5.127243998E1
2.642789542E0,-2.279567719E0,2.170858765E1,-4.649851608E1,5.136702449E1
2.652829542E0,-2.402332306E0,2.182250977E1,-4.669376755E1,5.159749084E1
2.662869542E0,-2.468044281E0,2.158150864E1,-4.666071701E1,5.146916814E1
2.672909542E0,-2.519634247E0,2.163720703E1,-4.671625900E1,5.154537942E1
2.682949542E0,-2.492248535E0,2.169638443E1,-4.646169662E1,5.133842278E1
2.692989542E0,-2.620346069E0,2.164043808E1,-4.655055618E1,5.140164448E1
2.703029542E0,-2.434619904E0,2.142948151E1,-4.667367935E1,5.141577964E1
2.713069542E0,-2.166576385E0,2.171952820E1,-4.648787308E1,5.135712513E1
2.723109542E0,-2.308410645E0,2.156266785E1,-4.658037949E1,5.138101943E1
2.733149542E0,-2.258666992E0,2.152952957E1,-4.656441116E1,5.135042947E1
2.743189542E0,-2.589496613E0,2.162032700E1,-4.650231552E1,5.134792480E1
2.753229542E0,-2.456428528E0,2.154581833E1,-4.660570908E1,5.140377853E1
2.763270542E0,-2.356739044E0,2.130941772E1,-4.656513596E1,5.126360687E1
2.773310542E0,-2.365612030E0,2.158683777E1,-4.661272812E1,5.142308925E1
2.783350542E0,-2.544998169E0,2.159526825E1,-4.682693100E1,5.162939176E1
2.793390542E0,-2.597080231E0,2.151108170E1,-4.684324265E1,5.161163476E1
2.803430542E0,-2.652114868E0,2.174740219E1,-4.673460770E1,5.161498592E1
2.813470542E0,-2.493984222E0,2.165781021E1,-4.671879959E1,5.155508642E1
2.823510542E0,-2.550083160E0,2.153050613E1,-4.683707047E1,5.161178924E1
2.833550542E0,-2.490108490E0,2.161090088E1,-4.668233871E1,5.150215942E1
2.843590542E0,-2.396999359E0,2.156431580E1,-4.692528152E1,5.169862056E1
2.853630542E0,-2.452423096E0,2.149705505E1,-4.663404465E1,5.140886962E1
2.863670542E0,-2.456550598E0,2.152490616E1,-4.668300247E1,5.146512359E1
2.873710542E0,-2.535610199E0,2.160359955E1,-4.659548569E1,5.142260319E1
2.883750542E0,-2.463371277E0,2.155307770E1,-4.677520370E1,5.156086731E1
2.893790542E0,-2.160381317E0,2.163436508E1,-4.642130661E1,5.126061556E1
2.903830542E0,-2.470813751E0,2.152252579E1,-4.669807816E1,5.147848619E1
2.913870542E0,-2.441490173E0,2.147696304E1,-4.649814987E1,5.127668824E1
2.923910542E0,-2.451931000E0,2.157832718E1,-4.635857010E1,5.119329244E1
2.933950417E0,-2.443550110E0,2.177065659E1,-4.638124466E1,5.129475881E1
2.943990417E0,-2.358955383E0,2.186069870E1,-4.641789627E1,5.136220315E1
2.954030417E0,-2.265106201E0,2.175543213E1,-4.630534744E1,5.121147074E1
2.964070417E0,-2.209129333E0,2.164110184E1,-4.625412369E1,5.111420056E1
2.974110417E0,-2.251815796E0,2.154822922E1,-4.635313797E1,5.116649545E1
2.984151417E0,-2.374008179E0,2.153937149E1,-4.640839005E1,5.121834735E1
2.994191417E0,-2.414333344E0,2.166464233E1,-4.621220016E1,5.109552991E1
3.004231417E0,-2.305973053E0,2.133326721E1,-4.633841324E1,5.106539281E1
3.014271417E0,-2.544517517E0,2.160010147E1,-4.663209915E1,5.145475317E1
3.024311417E0,-2.420833588E0,2.148405457E1,-4.649667740E1,5.127734436E1
3.034351417E0,-2.378688812E0,2.156780624E1,-4.669821548E1,5.149322049E1
3.044391417E0,-2.262153625E0,2.149723816E1,-4.663241959E1,5.139874652E1
3.054431417E0,-2.123023987E0,2.151766586E1,-4.634872818E1,5.114412751E1
3.064471417E0,-2.402370453E0,2.175885010E1,-4.666491318E1,5.154447655E1
3.074511417E0,-2.412788391E0,2.169062805E1,-4.641787338E1,5.129253223E1
3.084551417E0,-2.422718048E0,2.171678543E1,-4.645928574E1,5.134153838E1
3.094591417E0,-2.246105194E0,2.169606781E1,-4.663891220E1,5.148740116E1
3.104631417E0,-2.383399963E0,2.155724716E1,-4.659609604E1,5.139641687E1
3.114671417E0,-2.351203918E0,2.155318069E1,-4.668544388E1,5.147425015E1
3.124711417E0,-2.410209656E0,2.138243103E1,-4.662182236E1,5.134794823E1
3.134751417E0,-2.073860168E0,2.147706604E1,-4.639262772E1,5.116484309E1
3.144791417E0,-2.232463837E0,2.175126648E1,-4.637363815E1,5.127002832E1
3.154831417E0,-2.167961121E0,2.177072525E1,-4.643938828E1,5.133499115E1
3.164871417E0,-2.278598785E0,2.156637955E1,-4.634859848E1,5.117121574E1
3.174911417E0,-2.072261810E0,2.167977524E1,-4.665990067E1,5.149226402E1
3.184951417E0,-2.225372314E0,2.170993042E1,-4.656673813E1,5.142698184E1
3.194991417E0,-2.400608063E0,2.161423111E1,-4.654732132E1,5.137695035E1
3.205031417E0,-2.389785767E0,2.186586761E1,-4.673411179E1,5.165176132E1
3.215072417E0,-2.403747559E0,2.190660477E1,-4.655078506E1,5.150391174E1
3.225112417E0,-2.080940247E0,2.181198502E1,-4.650368881E1,5.140706251E1
3.235152417E0,-2.242305756E0,2.190682220E1,-4.636233902E1,5.132643835E1
3.245192417E0,-2.533985138E0,2.195717621E1,-4.647513962E1,5.146335852E1
3.255232417E0,-2.450443268E0,2.197007751E1,-4.635427475E1,5.135569847E1
